Date_start,Date_end,zodiac,key
1948-04-21,1948-05-20,Taurus,0
1948-05-21,1948-06-20,Gemini,0
1948-06-21,1948-07-22,Cancer,0
1948-07-23,1948-08-22,Leo,0
1948-08-23,1948-09-22,Virgo,0
1948-09-23,1948-10-22,Libra,0
1948-10-23,1948-11-21,Scorpio,0
1948-11-22,1948-12-21,Sagittarius,0
1948-12-22,1948-01-19,Capricorn,0
1948-01-20,1948-02-18,Aquarius,0
1948-02-19,1948-03-20,Pisces,0
1949-03-19,1949-04-20,Aries,0
1949-04-21,1949-05-20,Taurus,0
1949-05-21,1949-06-20,Gemini,0
1949-06-21,1949-07-22,Cancer,0
1949-07-23,1949-08-22,Leo,0
1949-08-23,1949-09-22,Virgo,0
1949-09-23,1949-10-22,Libra,0
1949-10-23,1949-11-21,Scorpio,0
1949-11-22,1949-12-21,Sagittarius,0
1949-12-22,1949-01-19,Capricorn,0
1949-01-20,1949-02-18,Aquarius,0
1949-02-19,1949-03-20,Pisces,0
1950-03-19,1950-04-20,Aries,0
1950-04-21,1950-05-20,Taurus,0
1950-05-21,1950-06-20,Gemini,0
1950-06-21,1950-07-22,Cancer,0
1950-07-23,1950-08-22,Leo,0
1950-08-23,1950-09-22,Virgo,0
1950-09-23,1950-10-22,Libra,0
1950-10-23,1950-11-21,Scorpio,0
1950-11-22,1950-12-21,Sagittarius,0
1950-12-22,1950-01-19,Capricorn,0
1950-01-20,1950-02-18,Aquarius,0
1950-02-19,1950-03-20,Pisces,0
1951-03-19,1951-04-20,Aries,0
1951-04-21,1951-05-20,Taurus,0
1951-05-21,1951-06-20,Gemini,0
1951-06-21,1951-07-22,Cancer,0
1951-07-23,1951-08-22,Leo,0
1951-08-23,1951-09-22,Virgo,0
1951-09-23,1951-10-22,Libra,0
1951-10-23,1951-11-21,Scorpio,0
1951-11-22,1951-12-21,Sagittarius,0
1951-12-22,1951-01-19,Capricorn,0
1951-01-20,1951-02-18,Aquarius,0
1951-02-19,1951-03-20,Pisces,0
1952-03-19,1952-04-20,Aries,0
1952-04-21,1952-05-20,Taurus,0
1952-05-21,1952-06-20,Gemini,0
1952-06-21,1952-07-22,Cancer,0
1952-07-23,1952-08-22,Leo,0
1952-08-23,1952-09-22,Virgo,0
1952-09-23,1952-10-22,Libra,0
1952-10-23,1952-11-21,Scorpio,0
1952-11-22,1952-12-21,Sagittarius,0
1952-12-22,1952-01-19,Capricorn,0
1952-01-20,1952-02-18,Aquarius,0
1952-02-19,1952-03-20,Pisces,0
1953-03-19,1953-04-20,Aries,0
1953-04-21,1953-05-20,Taurus,0
1953-05-21,1953-06-20,Gemini,0
1953-06-21,1953-07-22,Cancer,0
1953-07-23,1953-08-22,Leo,0
1953-08-23,1953-09-22,Virgo,0
1953-09-23,1953-10-22,Libra,0
1953-10-23,1953-11-21,Scorpio,0
1953-11-22,1953-12-21,Sagittarius,0
1953-12-22,1953-01-19,Capricorn,0
1953-01-20,1953-02-18,Aquarius,0
1953-02-19,1953-03-20,Pisces,0
1954-03-19,1954-04-20,Aries,0
1954-04-21,1954-05-20,Taurus,0
1954-05-21,1954-06-20,Gemini,0
1954-06-21,1954-07-22,Cancer,0
1954-07-23,1954-08-22,Leo,0
1954-08-23,1954-09-22,Virgo,0
1954-09-23,1954-10-22,Libra,0
1954-10-23,1954-11-21,Scorpio,0
